name,email
erin6_0,erin6_0@example.com
grace6_1,grace6_1@example.com
bob6_2,bob6_2@gmail.com
erin6_3,erin6_3[at]example.com
alice6_4,alice6_4@gmail.com
grace6_5,grace6_5@example.com
grace6_6,grace6_6@college.edu
carol6_7,carol6_7@example.com
grace6_8,grace6_8[at]gmail.com
carol6_9,carol6_9@example.com
erin6_10,erin6_10@gmail.com
alice6_11,alice6_11@gmail.com
carol6_12,carol6_12@example.com
frank6_13,frank6_13@college.edu
grace6_14,grace6_14@college.edu
erin6_15,erin6_15@example.com
heidi6_16,heidi6_16@example.com
frank6_17,frank6_17@college.edu
erin6_18,erin6_18@example.com
grace6_19,grace6_19@gmail.com
,alice6_20@gmail.com
dave6_21,dave6_21@college.edu
dave6_22,dave6_22@college.edu
erin6_23,erin6_23[at]college.edu
,alice6_24@gmail.com
frank6_25,frank6_25[at]example.com
frank6_26,frank6_26@college.edu
dave6_27,dave6_27@example.com
frank6_28,frank6_28@college.edu
erin6_29,erin6_29@example.com
heidi6_30,heidi6_30@gmail.com
frank6_31,frank6_31@example.com
bob6_32,bob6_32@example.com
dave6_33,dave6_33@college.edu
grace6_34,grace6_34@college.edu
grace6_35,grace6_35@example.com
bob6_36,bob6_36@gmail.com
erin6_37,erin6_37@college.edu
frank6_38,frank6_38@example.com
heidi6_39,heidi6_39@example.com
frank6_40,frank6_40@college.edu
bob6_41,bob6_41@college.edu
erin6_42,erin6_42@college.edu
carol6_43,carol6_43@example.com
erin6_44,erin6_44@gmail.com
dave6_45,dave6_45[at]gmail.com
grace6_46,grace6_46@college.edu
carol6_47,carol6_47@gmail.com
heidi6_48,heidi6_48@college.edu
erin6_49,erin6_49@example.com
