name,email
alice0_0,alice0_0@college.edu
dave0_1,dave0_1@example.com
bob0_2,bob0_2@college.edu
alice0_3,alice0_3@example.com
alice0_4,alice0_4@college.edu
grace0_5,grace0_5[at]gmail.com
alice0_6,alice0_6@example.com
frank0_7,frank0_7@gmail.com
frank0_8,frank0_8[at]example.com
frank0_9,frank0_9@gmail.com
alice0_10,alice0_10@college.edu
bob0_11,bob0_11@gmail.com
,erin0_12@college.edu
bob0_13,bob0_13[at]college.edu
erin0_14,erin0_14@example.com
bob0_15,bob0_15@gmail.com
frank0_16,frank0_16@example.com
dave0_17,dave0_17@college.edu
bob0_18,bob0_18@college.edu
dave0_19,dave0_19@example.com
erin0_20,erin0_20@college.edu
dave0_21,dave0_21@college.edu
alice0_22,alice0_22@example.com
frank0_23,frank0_23@gmail.com
dave0_24,dave0_24@college.edu
frank0_25,frank0_25@example.com
grace0_26,grace0_26@college.edu
erin0_27,erin0_27@example.com
erin0_28,erin0_28@college.edu
grace0_29,grace0_29@gmail.com
carol0_30,carol0_30@college.edu
alice0_31,alice0_31@example.com
,carol0_32@college.edu
,grace0_33@college.edu
alice0_34,alice0_34@college.edu
erin0_35,erin0_35@college.edu
erin0_36,erin0_36@gmail.com
,alice0_37@college.edu
bob0_38,bob0_38@college.edu
dave0_39,dave0_39@example.com
carol0_40,carol0_40@college.edu
alice0_41,alice0_41@college.edu
alice0_42,alice0_42@example.com
erin0_43,erin0_43@example.com
bob0_44,bob0_44[at]college.edu
bob0_45,bob0_45@college.edu
carol0_46,carol0_46@college.edu
carol0_47,carol0_47@gmail.com
grace0_48,grace0_48@example.com
dave0_49,dave0_49@college.edu
